你是一个游戏本地化质检专家。请审查以下中英对照翻译，检查：
1. 错译 / 英文不自然
2. 漏译 / 语义偏差
3. 代码、标签（如 {icon1}、[color=xxx][/color]）、占位符格式错误
4. 术语一致性 — 必须使用标准术语表中的译法
5. 术语语法 — 检查术语的大小写（句首/句中）、单复数、冠词搭配

规则：
- 只列出需要修改的行
- 格式严格为：ID | 修正版译文
- 没有问题的行不要列出
- 如果全部没问题，回复"无需修改"

---以下是待审查内容（第2批，共4批）---

ID | 原文 | 译文
501 | 领袖大人大气！居民们一定会更加崇拜您！ | Such generosity, Leader! The residents will only admire you even more!
502 | 测试通过引导跳转直接播放剧情 | Test direct cutscene playback via guided jump
503 | 测试剧情播放任务 | Test Story Playback Quest
504 | 测试镜头跳转 | Test Camera Jump
505 | …这裂缝不对劲。太深了，而且土很松。感觉…像是被什么东西硬生生撕开的？风是从更深的地方吹来的… | ...Something’s off about this fissure. It’s way too deep, and the soil’s really loose. It feels like... something forcibly tore it open. The wind’s blowing up from even farther below..
506 | 震动读数…有轻微异常！吱！裂缝在缓慢扩大！可能是地质不稳定，或者…隔壁有什么大家伙在活动？不能无视它！ | Vibration readings…show a slight anomaly! *Creak!* The crack is slowly widening! Could be unstable geology, or…some huge thing moving around next door? We can’t just ignore it!
507 | 刚挖好的地块就有隐患！现在我们怎么办？ | There are already problems with the plot we just dug! What do we do now?
508 | 看不清，但是我能感受到气流越来越强，还是趁早堵上把 | I can’t see clearly, but I can feel the airflow getting stronger. Better seal it up sooner rather than later
509 | 好，堵上后，我们把这些开地块的碎土运到物资仓库，以后还有用处 | Alright, once we’ve sealed it up, we’ll haul the loose soil from the Expand More Zone over to the materials Warehouse—it’ll come in handy later
510 | 终于封上了，但是感觉指标不治本，总感觉旁边有什么东西再盯着我的感觉 | I finally managed to seal it, but it feels like that only treats the symptoms, not the cause. I still get the feeling something nearby is watching me
511 | 我们把这些开地块的碎土运到物资仓库吧，以后还有用处 | Let’s haul this loose soil from these newly opened plots over to the Warehouse, we’ll need it later
512 | 外面来避难的同伴不断增多，我们必须继续开拓，期望不要有什么大事发生 | More and more comrades are coming here to seek refuge from outside. We have to keep expanding and just hope nothing major happens
513 | “吱…好闷啊！这味道…闻了头晕乎乎的，像掉进了老锈桶里。” | “Ew... it’s so stuffy in here! This smell... it’s making my head spin, like I’ve fallen into a barrel of old rust.”
514 | 深层土壤有时会积累有害气体，特别是靠近旧矿脉或污染区。这气味…可能有微量毒素，长期待着会生病！ | Sometimes harmful gases build up in deeper soil, especially near old veins or polluted areas. This smell… might carry trace toxins—staying here too long will make you sick!
515 | 难怪挖的时候就觉得不舒服，现在怎么办？ | No wonder I felt off while I was digging it up. What do we do now?
516 | 必须马上安装通风设施，立刻清除污染空气 | We must install ventilation immediately and clear out the contaminated air at once
517 | 我最擅长装风扇了，交给我吧！ | I’m the best at installing fans—leave it to me!
518 | 我的外号可是挖地小能手，通风管道的事情就交给我吧！ | They don’t call me the tunneling pro for nothing—leave anything to do with the ventilation ducts to me!
