你是一个游戏本地化质检专家。请审查以下中英对照翻译，检查：
1. 错译 / 英文不自然
2. 漏译 / 语义偏差
3. 代码、标签（如 {icon1}、[color=xxx][/color]）、占位符格式错误
4. 术语一致性 — 必须使用标准术语表中的译法
5. 术语语法 — 检查术语的大小写（句首/句中）、单复数、冠词搭配

规则：
- 只列出需要修改的行
- 格式严格为：ID | 修正版译文
- 没有问题的行不要列出
- 如果全部没问题，回复"无需修改"

---以下是待审查内容（第1批，共4批）---

ID | 原文 | 译文
1 | 充值积分达到{icon1}[color =#dc6c00]{num1}[/color] | Top-up Points reaching {icon1}[color =#dc6c00]{num1}[/color] in total
2 | 立刻获取[color =#dc6c00]机甲战士[/color] | Get [color =#dc6c00] Mech Warrior [/color] now
3 | 立刻获取[color =#dc6c00]限定头像框[/color] | Get [color =#dc6c00] limited avatar frame [/color] now
4 | 立刻获取[color =#dc6c00]限定聊天气泡[/color] | Get [color =#dc6c00] limited chat bubble[/color] now
5 | 立刻获取[color =#dc6c00]传说英雄装备[/color] | Get Legendary Heros Gear [color =#dc6c00]now[/color]
6 | 立刻获取[color =#dc6c00]末世主宰[/color] | Get [color =#dc6c00]Apocalypse Overlord[/color] now
7 | 奖励价值[color =#dc6c00]5000[/color]钻石的道具 | A reward item worth [color =#dc6c00]5000[/color] Gems
8 | 奖励价值[color =#dc6c00]10000[/color]钻石的道具 | An item worth [color =#dc6c00]10000[/color] Gems in rewards
9 | 奖励价值[color =#dc6c00]15000[/color]钻石的道具 | An item worth [color =#dc6c00]15000[/color] Gems
10 | 奖励价值[color =#dc6c00]20000[/color]钻石的道具 | An item worth[color =#dc6c00]20,000[/color]Gems
11 | 奖励价值[color =#dc6c00]25000[/color]钻石的道具 | Items worth [color =#dc6c00]25000[/color] Gems as rewards
12 | 还需充值积分：{icon1}[color =#dc6c00]{num1}[/color] | Points still needed to top up:{icon1}[color =#dc6c00]{num1}[/color]
13 | 据点争夺中，无法宣战，请等待争夺结束后再进行宣战 | You can’t declare war during a Stronghold Battle. Please wait until the battle is over before declaring war
14 | 属性加成(拥有即激活) | Stat bonus(Activated when owned)
15 | 聊天气泡装扮 | Chat Bubble Skin
16 | 发电厂装扮 | Power Station Decor
17 | 建筑产出 | Building Output
18 | 可领取资源: {num} | Claimable Resources: {num}
19 | 请等待产出资源 | Please wait for resources to be produced
20 | 钻机工坊 | Drill Workshop
21 | 研究升级钻地机 | Research upgrading the drill
22 | 钻地机专属战备工坊，提供全方位的机械改良与装甲升级服务，确保战斗中保持压倒性优势。 | A dedicated war-preparedness workshop for the Drill Machine, offering comprehensive mechanical modifications and armor upgrades to ensure overwhelming superiority in combat.
23 | 不断探索地下世界 | Keep exploring the underground world
24 | 地下世界潜藏着诸多挑战与奖励，和强大的英雄同行，探索地下世界。 | The underworld is filled with hidden challenges and rewards. Team up with powerful Heros and explore its depths.
25 | [color =#34790f]{playername1}[/color]攻击了[color =#b02912]{playername2} [url =1,[urlparm]]{pos}[/url] [/color]，大获全胜！ | [color =#34790f]{playername1}[/color]attacked [color =#b02912]{playername2} [url =1,[urlparm]]{pos}[/url] [/color], and won a great victory!
26 | [color =#34790f]{playername1}[/color]攻击了[color =#b02912]{playername2} [url =1,[urlparm]]{pos}[/url] [/color]，遗憾落败！ | [color =#34790f]{playername1}[/color]attacked [color =#b02912]{playername2} [url =1,[urlparm]]{pos}[/url] [/color], but unfortunately was defeated!
27 | [color =#34790f]{playername1}[/color]遭到了[color =#b02912]{playername2} [url =1,[urlparm]]{pos}[/url] [/color]的攻击，大获全胜！ | [color =#34790f]{playername1}[/color] suffered an Attack from [color =#b02912]{playername2} [url =1,[urlparm]]{pos}[/url] [/color] and won a great victory!
28 | [color =#34790f]{playername1}[/color]遭到了[color =#b02912]{playername2} [url =1,[urlparm]]{pos}[/url] [/color]的攻击，遗憾落败！ | [color =#34790f]{playername1}[/color] was attacked by [color =#b02912]{playername2} [url =1,[urlparm]]{pos}[/url] [/color] and was unfortunately defeated!
29 | 欢迎[color =#34790f]{playername}[/color]加入联盟！ | Welcome [color =#34790f]{playername}[/color] to the Alliance!
30 | [color =#b02912]{playername}[/color]离开了联盟！ | [color =#b02912]{playername}[/color] has left the Alliance!
31 | {playername1}将[color =#b02912]{playername2}[/color]踢出了联盟！ | {playername1} kicked [color =#b02912]{playername2}[/color] out of the Alliance!
32 | [color =#34790f]{playername}[/color]从{level1}提升到了[color =#34790f]{level2}[/color]！ | [color =#34790f]{playername}[/color]has increased from {level1} to [color =#34790f]{level2}[/color]!
33 | [color =#b02912]{playername}[/color]从{level1}降至[color =#b02912]{level2}[/color]！ | [color =#b02912]{playername}[/color]dropped from {level1} to [color =#b02912]{level2}[/color]!
34 | {playername1}将盟主转让给了[color =#34790f]{playername2}[/color]！ | {playername1} has transferred leadership to [color =#34790f]{playername2}[/color]!
35 | {playername1}将[color =#34790f]{playername2}[/color]任命为了[color =#34790f]{officername}[/color]！ | {playername1} has appointed [color =#34790f]{playername2}[/color] as [color =#34790f]{officername}[/color]!
36 | 由于长时间未登录，[color =#b02912]{playername}[/color]被自动踢出了联盟！ | Due to being inactive for a long time, [color =#b02912]{playername}[/color] was automatically removed from the Alliance!
37 | 由于原盟主长时间未登录，盟主职位将转让给[color =#b02912]{playername}[/color]！ | Since the former leader has been inactive for a long time, the leader position will be transferred to [color =#b02912]{playername}[/color]！
38 | 在大家的共同努力下，联盟已经升到了[color =#34790f]{num}级[/color]！ | Thanks to everyone’s efforts, the Alliance has reached level [color =#34790f]{num}级[/color]!
39 | 在大家的共同努力下，[color =#34790f]{sciencename}[/color]已经升到了[color =#34790f]{num}级[/color]！ | Thanks to everyone’s efforts, [color =#34790f]{sciencename}[/color] has already reached [color =#34790f]{num} level[/color]!
40 | {playername}将[color =#34790f]{sciencename}[/color]标记为了联盟推荐科技！ | {playername} marked [color =#34790f]{sciencename}[/color] as recommended Alliance tech!
41 | {playername}向领地[color =#b02912]{cityname} [url =1,[urlparm]]{pos}[/url] [/color]发起了宣战，战役时间为{time}！ | {playername} has declared war on territory [color =#b02912]{cityname} [url =1,[urlparm]]{pos}[/url] [/color]! The battle duration is {time}!
42 | 联盟占领了[color =#b02912]{cityname} [url =1,[urlparm]]{pos}[/url] [/color]！ | The Alliance has occupied [color =#b02912]{cityname} [url =1,[urlparm]]{pos}[/url] [/color]!
43 | {playername}放弃了领地[color =#b02912]{cityname} [url =1,[urlparm]]{pos}[/url] [/color]！ | {playername} has abandoned territory [color =#b02912]{cityname} [url =1,[urlparm]]{pos}[/url] [/color]!
44 | 钻地机攻击 | Drilling Machine Attack
45 | 钻地机防御 | Drill Machine Defense
46 | 钻地机生命 | Drill Machine Health
47 | 钻地机加成 | Drilling Machine Bonus
48 | 钻地机战力 | Drill Machine Power
49 | 通过以下方式可减少建造时间 | You can reduce construction time in the following ways
50 | 通过以下方式可减少科研时间 | You can reduce research time in the following ways
51 | 通过以下方式可减少训练时间 | You can reduce training time in the following ways
52 | 通过以下方式可减少治疗时间 | You can reduce treatment time in the following ways
53 | 钻地机 | Drill
54 | 钻地机及所有钻地机组件战力之和 | Total Power of the Drill and all its components
55 | 军火库调整资源返还 | Armory Resource Refund Adjustment
56 | 亲爱的土拨鼠领袖，由于军火库系统功能调整，为您返还资源消耗，请查收！ | Dear Marmot Leader, due to adjustments to the Armory system, we have refunded the resources you spent. Please check!
57 | 别怕！有我在，它们别想进来！丧尸我跟你们拼了！ | Don’t be scared! With me here, there’s no way they’re getting in! Zombies, I’ll take you all on!
58 | 呜呜呜…门一旦被破，我们就要变成丧尸的食物了，不想<font color =#0b9303>被丧尸吃掉</font>啊！ | *Sob sob*... Once that door is breached, we’ll become food for the zombies. I don’t want<font color =#0b9303>to be eaten by zombies</font>!
59 | 嘿，别慌，听我说！这门暂时能顶住，我们先<font color =#0b9303>四周探探路</font>。 | Hey, don’t panic, listen to me! This door can hold for now, let’s<font color =#0b9303> scout around</font> first.
60 | 看，这有个梯子，我想我们可以<font color =#0b9303>先下去看看</font>，也许能找到<font color =#0b9303>对付丧尸的办法</font>。 | Look, there’s a ladder here. I think we can<font color =#0b9303> go down and take a look first</font>, maybe we can find<font color =#0b9303> a way to deal with the zombies</font>.
61 | 一个巨大的能源机器，这我在其他避难所见过！只要<font color =#0b9303>激活核心</font>，就可以利用核心能源<font color =#0b9303>发电</font>，维持地下避难所的运转！ | A massive power generator—I’ve seen one of these in other vaults! As long as you <font color =#0b9303>activate the core</font>, you can use the core’s energy<font color =#0b9303> to generate electricity</font> and keep the underground vault running!
62 | 但是它现在看起来没有在运作。 | But it doesn’t seem to be working right now.
63 | 这有个滚轮，应该是<font color =#0b9303>跑步发电</font>，让我来试试！ | There’s a running wheel here—looks like you can <font color =#0b9303>run on it to generate power</font>. Let me give it a try!
64 | 奇怪，怎么核心没有反应？ | Weird, why is the core not responding?
65 | 那有台<font color =#0b9303>电脑</font>，也许能控制核心，我们去看看！ | There’s a <font color =#0b9303>computer</font> over there—maybe we can use it to control the core. Let’s check it out!
66 | 看起来是个<font color =#0b9303>电路管理系统</font>。 | Looks like a <font color =#0b9303>circuit management system</font>.
67 | 这我可不擅长，要不拿锤子哐哐两下试试。 | This really isn’t my strong suit—how about I just whack it a couple of times with a hammer and see what happens.
68 | 别冲动，砸坏了我们就完蛋了。（哎，还得是我来啊...） | Easy, don’t lose your head—if we break it, we’re screwed.（Sigh, guess it’s on me again...）
69 | 哟吼！成功激活核心！现在我们是不是安全啦？ | Woohoo! Core successfully activated! So are we safe now?
70 | 当然不是，我们可不能<font color =#0b9303>坐以待毙</font>，是时候想想怎么击退这些丧尸了。 | Of course not. We can’t just<font color =#0b9303> sit here and wait to die</font>—it’s time we figured out how to drive these zombies back.
71 | 我这就出去跟他们拼了。 | I’m going out there to take them on.
72 | 嘿！嘿！快回来！我们<font color =#0b9303>手无寸铁</font>，可不能直接出去和丧尸拼命。 | Hey! Hey! Get back here! We’re<font color =#0b9303> completely unarmed</font>, we can’t just run out there and go head‑to‑head with the zombies.
73 | 我们把旁边的房间开辟出来，让铁匠在这里给我们打造一些武器，拿上武器再去击退丧尸。 | We’ve cleared out the room next door so the blacksmith can forge some weapons for us here. Once we’re armed, we’ll head out and drive back the zombies.
74 | 轻松搞定！挖地也算是咱们土拨鼠的老本行了！ | Easy peasy! Digging is what we groundhogs do best, after all!
75 | 哈哈！我们天然适应在地下生活，这也是我们能在末日中活下来的重要原因。好了，别说废话了，赶紧建造一个<font color =#0b9303>武器工坊</font>吧！ | Haha! We’re naturally suited to living underground—that’s a big part of why we survived the apocalypse. All right, enough chatter, hurry up and build an <font color =#0b9303>Armory</font>!
76 | 丧尸掉落了一些<font color =#0b9303>金币</font>，可以用来<font color =#0b9303>升级</font>一下我们的武器锻造台。 | The zombie dropped some<font color =#0b9303>Gold</font>, which we can use to<font color =#0b9303>upgrade</font>our weapon forging station.
77 | 工作台更好用了！ | The workbench is easier to use!
78 | 感觉我的盾更结实了！ | Feels like my shield just got tougher!
79 | 下一波丧尸已经来了，快给我武器，我要去支援浩克！ | The next wave of zombies is here—hurry up and give me a weapon, I’m going to back up Hulk!
80 | 嘤嘤嘤...一定是我造的武器不好用...让你受伤了... | *sob, sob*... It must be because the weapon I made is no good... that you got hurt...
81 | 别自责，战斗过程中受伤在所难免，好在伤势不重，我们可以先建造一个<font color =#0b9303>医院</font>，让受伤的勇士可以得到治疗。 | Don’t blame yourself. Getting hurt in battle is inevitable. Luckily the wounds aren’t serious. We can start by building an <font color =#0b9303>Infirmary</font> so our injured warriors can receive treatment.
82 | 可是，现在我们已经没有空间建造医院了... | But now, we don’t have any space left to build an Infirmary...
83 | 嘿伙计！我们可是土拨鼠，再继续往下挖个洞不就好了！ | Hey buddy! We’re groundhogs—why don’t we just dig another tunnel down?
84 | 完工！可是，从这么高跳下去，没受伤的勇士也会骨折吧... | All done! But if you jump from this high up, even a warrior who walks away in one piece is gonna end up with broken bones...
