你是一个游戏本地化质检专家。请审查以下中英对照翻译，检查：
1. 错译 / 英文不自然
2. 漏译 / 语义偏差
3. 代码、标签（如 {icon1}、[color=xxx][/color]）、占位符格式错误
4. 术语一致性 — 必须使用标准术语表中的译法
5. 术语语法 — 检查术语的大小写（句首/句中）、单复数、冠词搭配

规则：
- 只列出需要修改的行
- 格式严格为：ID | 修正版译文
- 没有问题的行不要列出
- 如果全部没问题，回复"无需修改"

---以下是待审查内容（第3批，共4批）---

ID | 原文 | 译文
1001 | 获得后，为您增加同等数量的特战射手 | Upon acquisition, grants you an equal number of T9 Marksman units
1002 | 获得后，为您增加同等数量的王牌射手 | When obtained, grants you an equal number of T10 Marksman
1003 | 集结击杀巨人丧尸后，向联盟发送1个战利品宝箱 | After a Rally kills the Giant Zombie, send 1 Loot Chest to the Alliance
1004 | 联盟成员充值后，全盟成员均可领取的礼包 | A Pack that all Alliance members can claim after any Alliance member recharges
1005 | 一根锋利箭镞，可以强化联盟在围猎巨兽时的伤害，在捕熊陷阱处进行捐献。 | Sharp Arrowheads that boost your Alliance’s damage during a Behemoth Hunt and can be donated at the Bear Trap.
1006 | 用于发起一次擂台挑战，赛季结束后会回收 | Used to initiate a Ring challenge, and will be reclaimed after the season ends
1007 | 可用于提升{buildtype_101} | Can be used to enhance {buildtype_101}
1008 | 联盟总动员活动完成任务可获取积分 | Complete Alliance Total Mobilization Event tasks to earn Points
1009 | 消耗此券可以用30元的价格购买至尊月卡 | Consume this voucher to purchase the Supreme Monthly Card for 30 yuan
1010 | 获得后，可以增加1名武器工匠 | Upon acquisition, adds 1 Weapon Craftsman
1011 | 获得后，可以增加1名装备工匠 | Upon acquisition, increases the number of Equipment Craftsmen by 1
1012 | 累计信物积分可以领取活动进度宝箱奖励 | Accumulate Token Points to claim Event progress chest rewards
1013 | 可用于寻宝遗迹提升进度 | Can be used to increase progress in Treasure Ruins
1014 | 记录传闻中先祖藏匿宝藏的线索 | Record clues to rumored ancestral treasure
1015 | 使用后，可以刷新商队的品质和货物 | When used, refreshes the caravan’s quality and goods
1016 | 使用后，可以获得一列联盟商队 | Use to get a column of Alliance caravans
1017 | 测试 | Test
1018 | 后台邮件 | Backend Mailbox
1019 | 删档测试公示 | Closed Beta with Data Wipe Announcement
1020 | 侦察报告 | Recon Report
1021 | 遭遇侦察警报 | Recon alert triggered
1022 | 统帅免费礼包 | Free Commander Pack
1023 | 医院容量达到上限 | Infirmary capacity reached
